Method,Name,Error,Occurrences
GET,/api/cart/update/anonymous-3511/Watson/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-2001,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-788/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4308/SHCE/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1651,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-2392/STAN-1/2,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1557/UHJ/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-1992/EMM/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-2829/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-4722/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-832/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-263/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-2383/RED/2,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-1714,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-242,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-2685,404 Client Error: Not Found for url: http://20.108.182.24/api/cart/cart/anonymous-2685,1
GET,/api/cart/cart/anonymous-3125,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-1823,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-394/HPTD/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-6041/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-163/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/update/anonymous-2136/HPTD/2,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-3592,404 Client Error: Not Found for url: http://20.108.182.24/api/cart/cart/anonymous-3592,1
GET,/api/cart/add/anonymous-455/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4992/STAN-1/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-4284/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-5111,404 Client Error: Not Found for url: http://20.108.182.24/api/cart/cart/anonymous-5111,1
GET,/api/cart/add/anonymous-2147/Watson/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-341/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-2647,404 Client Error: Not Found for url: http://20.108.182.24/api/cart/cart/anonymous-2647,1
GET,/api/shipping/cities/fi,504 Server Error: Gateway Time-out for url: http://20.108.182.24/api/shipping/cities/fi,4
GET,/api/cart/add/anonymous-2233/RMC/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-5509/EPE/1,Remote end closed connection without response,1
