Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,24193,17697,870.0,8056.4279612703585,4.5037620002403855,166294.93444899982,697.5554085892613,13.375795795239664,9.784295382480732,870,3700,6400,8500,20000,45000,80000,113000,148000,166000,166000
GET,/api/cart/add/anonymous-1/RMC/1,2,0,43.428308999864385,60.782770499827166,43.428308999864385,78.13723199978995,108.5,0.0011057575162435138,0.0,78,78,78,78,78,78,78,78,78,78,78
GET,/api/cart/add/anonymous-10/SHCE/1,1,0,107.37977500002671,107.37977500002671,107.37977500002671,107.37977500002671,124.0,0.0005528787581217569,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/api/cart/add/anonymous-10/STAN-1/1,1,0,134.91488199997548,134.91488199997548,134.91488199997548,134.91488199997548,203.0,0.0005528787581217569,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/cart/add/anonymous-100/HPTD/1,2,0,7710.702194000078,9305.445953500112,7710.702194000078,10900.189713000145,121.0,0.0011057575162435138,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/cart/add/anonymous-101/STAN-1/1,1,0,9860.235964999902,9860.235964999902,9860.235964999902,9860.235964999902,191.0,0.0005528787581217569,0.0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
GET,/api/cart/add/anonymous-101/UHJ/1,1,0,5606.80222100018,5606.80222100018,5606.80222100018,5606.80222100018,138.0,0.0005528787581217569,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/api/cart/add/anonymous-102/EPE/1,1,0,5578.38314699984,5578.38314699984,5578.38314699984,5578.38314699984,129.0,0.0005528787581217569,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/api/cart/add/anonymous-102/RMC/1,1,0,8715.573281000161,8715.573281000161,8715.573281000161,8715.573281000161,207.0,0.0005528787581217569,0.0,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
GET,/api/cart/add/anonymous-103/EMM/1,1,1,63.71943299973282,63.71943299973282,63.71943299973282,63.71943299973282,0.0,0.0005528787581217569,0.0005528787581217569,64,64,64,64,64,64,64,64,64,64,64
GET,/api/cart/add/anonymous-103/EPE/1,1,0,6322.678537000229,6322.678537000229,6322.678537000229,6322.678537000229,129.0,0.0005528787581217569,0.0,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
GET,/api/cart/add/anonymous-104/RMC/1,1,0,7082.4160749998555,7082.4160749998555,7082.4160749998555,7082.4160749998555,108.0,0.0005528787581217569,0.0,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100,7100
GET,/api/cart/add/anonymous-104/SHCE/1,1,0,10075.282034000338,10075.282034000338,10075.282034000338,10075.282034000338,202.0,0.0005528787581217569,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/cart/add/anonymous-105/EMM/1,1,0,6583.6713250000685,6583.6713250000685,6583.6713250000685,6583.6713250000685,137.0,0.0005528787581217569,0.0,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600
GET,/api/cart/add/anonymous-105/SHCE/1,1,0,8161.910857999828,8161.910857999828,8161.910857999828,8161.910857999828,229.0,0.0005528787581217569,0.0,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
GET,/api/cart/add/anonymous-106/Watson/1,2,0,5636.128348000057,7934.475955999915,5636.128348000057,10232.823563999773,105.0,0.0011057575162435138,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/cart/add/anonymous-107/EMM/1,1,0,7745.585467000183,7745.585467000183,7745.585467000183,7745.585467000183,201.0,0.0005528787581217569,0.0,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700,7700
GET,/api/cart/add/anonymous-107/STAN-1/1,1,0,5858.8142860003245,5858.8142860003245,5858.8142860003245,5858.8142860003245,111.0,0.0005528787581217569,0.0,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900
GET,/api/cart/add/anonymous-108/HPTD/1,1,0,6600.739223999881,6600.739223999881,6600.739223999881,6600.739223999881,121.0,0.0005528787581217569,0.0,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600,6600
