Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15886,9695,1700.0,16739.553714064226,8.428623999861884,210385.60078199953,1015.6111041168324,8.810939857248297,5.377191358178411,1700,8000,14000,21000,66000,88000,115000,131000,200000,210000,210000
GET,/api/cart/add/anonymous-1/EMM/1,1,0,132.45515300059196,132.45515300059196,132.45515300059196,132.45515300059196,137.0,0.0005546355191519763,0.0,130,130,130,130,130,130,130,130,130,130,130
GET,/api/cart/add/anonymous-1/HPTD/1,1,0,215.19606899983046,215.19606899983046,215.19606899983046,215.19606899983046,223.0,0.0005546355191519763,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/cart/add/anonymous-10/RMC/1,1,0,773.8930420000543,773.8930420000543,773.8930420000543,773.8930420000543,184.0,0.0005546355191519763,0.0,770,770,770,770,770,770,770,770,770,770,770
GET,/api/cart/add/anonymous-10/Watson/1,1,0,732.9116589999103,732.9116589999103,732.9116589999103,732.9116589999103,106.0,0.0005546355191519763,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/api/cart/add/anonymous-100/UHJ/1,1,0,2649.869965000107,2649.869965000107,2649.869965000107,2649.869965000107,138.0,0.0005546355191519763,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/cart/add/anonymous-100/Watson/1,1,0,7863.080426000124,7863.080426000124,7863.080426000124,7863.080426000124,209.0,0.0005546355191519763,0.0,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
GET,/api/cart/add/anonymous-1001/EMM/1,1,1,698.2571580001604,698.2571580001604,698.2571580001604,698.2571580001604,0.0,0.0005546355191519763,0.0005546355191519763,700,700,700,700,700,700,700,700,700,700,700
GET,/api/cart/add/anonymous-1001/UHJ/1,1,1,748.5486530003982,748.5486530003982,748.5486530003982,748.5486530003982,0.0,0.0005546355191519763,0.0005546355191519763,750,750,750,750,750,750,750,750,750,750,750
GET,/api/cart/add/anonymous-1009/EMM/1,1,1,169.73130000042147,169.73130000042147,169.73130000042147,169.73130000042147,0.0,0.0005546355191519763,0.0005546355191519763,170,170,170,170,170,170,170,170,170,170,170
GET,/api/cart/add/anonymous-1009/SHCE/1,1,1,64.88035800066427,64.88035800066427,64.88035800066427,64.88035800066427,0.0,0.0005546355191519763,0.0005546355191519763,65,65,65,65,65,65,65,65,65,65,65
GET,/api/cart/add/anonymous-101/RED/1,1,0,6442.851021999559,6442.851021999559,6442.851021999559,6442.851021999559,132.0,0.0005546355191519763,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
