Method,Name,Error,Occurrences
GET,/api/cart/cart/anonymous-409,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-4155/SHCE/1,[Errno 110] Connection timed out,1
GET,/api/cart/cart/anonymous-4176,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-345/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/cart/anonymous-447,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/cart/anonymous-447,1
GET,/api/cart/add/anonymous-373/SHCE/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-373/SHCE/1,1
PUT,/api/ratings/api/rate/RMC/3,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/ratings/api/rate/RMC/3,2
GET,/api/cart/add/anonymous-464/UHJ/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-464/UHJ/1,1
GET,/api/cart/cart/anonymous-129,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-300/Watson/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-240/UHJ/1,[Errno 110] Connection timed out,1
GET,/api/cart/cart/anonymous-208,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/STAN-1,500 Server Error: Internal Server Error for url: http://20.117.149.44/api/catalogue/product/STAN-1,1
GET,/api/catalogue/products,500 Server Error: Internal Server Error for url: http://20.117.149.44/api/catalogue/products,1
GET,/api/cart/cart/anonymous-436,404 Client Error: Not Found for url: http://20.117.149.44/api/cart/cart/anonymous-436,1
PUT,/api/ratings/api/rate/SHCE/5,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/ratings/api/rate/SHCE/5,2
GET,/api/catalogue/categories,[Errno 104] Connection reset by peer,2
GET,/api/cart/add/anonymous-313/RED/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-219/STAN-1/1,[Errno 104] Connection reset by peer,1
GET,/api/catalogue/product/RMC,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/catalogue/product/RMC,10
GET,/api/cart/cart/anonymous-262,[Errno 110] Connection timed out,1
GET,/api/cart/add/anonymous-492/RMC/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-492/RMC/1,1
GET,/api/cart/cart/anonymous-318,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-444/EMM/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-353/SHCE/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-452/HPTD/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-452/HPTD/1,1
GET,/api/cart/add/anonymous-354/RMC/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-354/RMC/1,1
GET,/api/cart/add/anonymous-229/HPTD/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-229/HPTD/1,1
GET,/api/shipping/cities/jp,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/shipping/cities/jp,1
GET,/api/cart/add/anonymous-441/EMM/1,Remote end closed connection without response,1
GET,/api/cart/cart/anonymous-288,Remote end closed connection without response,1
PUT,/api/ratings/api/rate/RED/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/ratings/api/rate/RED/1,2
GET,/api/cart/add/anonymous-439/RMC/1,Remote end closed connection without response,1
GET,/api/cart/add/anonymous-276/RED/1,504 Server Error: Gateway Time-out for url: http://20.117.149.44/api/cart/add/anonymous-276/RED/1,1
GET,/api/cart/add/anonymous-338/HPTD/1,[Errno 104] Connection reset by peer,1
GET,/api/cart/add/anonymous-358/Watson/1,Remote end closed connection without response,1
